621
0.0 0.0
0.01599895 0.00799985
0.03199145 0.01599895
0.0479712 0.0239964
0.063932 0.03199145
0.0798665 0.03998335
0.09577 0.0479712
0.1116345 0.0559545
0.1274545 0.063932
0.1432235 0.071903
0.1589355 0.0798665
0.1745835 0.0878225
0.190162 0.09577
0.2056645 0.1037075
0.2210845 0.1116345
0.236416 0.1195505
0.251653 0.1274545
0.2667895 0.135346
0.2818195 0.1432235
0.2967365 0.151087
0.3115345 0.1589355
0.3262085 0.166768
0.3407515 0.1745835
0.3551585 0.182382
0.3694235 0.190162
0.3835405 0.197923
0.397504 0.2056645
0.411309 0.213385
0.424949 0.2210845
0.438419 0.228762
0.451714 0.236416
0.464828 0.244047
0.4777565 0.251653
0.4904935 0.2592345
0.503035 0.2667895
0.515375 0.274318
0.52751 0.2818195
0.53943 0.2892925
0.551135 0.2967365
0.562625 0.3041505
0.573885 0.3115345
0.584915 0.3188875
0.595715 0.3262085
0.606275 0.3334965
0.61659 0.3407515
0.62666 0.3479725
0.63648 0.3551585
0.646045 0.362309
0.655355 0.3694235
0.6644 0.3765005
0.673175 0.3835405
0.681685 0.390542
0.689925 0.397504
0.697885 0.4044265
0.705565 0.411309
0.712965 0.41815
0.72008 0.424949
0.726905 0.4317055
0.73344 0.438419
0.739685 0.445089
0.74563 0.451714
0.75128 0.458294
0.756625 0.464828
0.76167 0.471316
0.766415 0.4777565
0.770845 0.484149
0.77497 0.4904935
0.77879 0.496789
0.78229 0.503035
0.785485 0.50923
0.78836 0.515375
0.79092 0.521465
0.793165 0.52751
0.795095 0.533495
0.796705 0.53943
0.797995 0.54531
0.79897 0.551135
0.79962 0.55691
0.799955 0.562625
0.799965 0.568285
0.79966 0.573885
0.79903 0.57943
0.798085 0.584915
0.79682 0.590345
0.795235 0.595715
0.79333 0.601025
0.79111 0.606275
0.788575 0.611465
0.785725 0.61659
0.782555 0.621655
0.77908 0.62666
0.775285 0.631605
0.771185 0.63648
0.766775 0.641295
0.76206 0.646045
0.75704 0.65073
0.751715 0.655355
0.74609 0.65991
0.74017 0.6644
0.73395 0.66882
0.72744 0.673175
0.720635 0.677465
0.713545 0.681685
0.706165 0.68584
0.698505 0.689925
0.690565 0.69394
0.68235 0.697885
0.673865 0.70176
0.665105 0.705565
0.656085 0.7093
0.646795 0.712965
0.63725 0.71656
0.627455 0.72008
0.6174 0.72353
0.607105 0.726905
0.596565 0.73021
0.585785 0.73344
0.57477 0.7366
0.56353 0.739685
0.55206 0.742695
0.54037 0.74563
0.528465 0.748495
0.51635 0.75128
0.504025 0.75399
0.4914995 0.756625
0.4787775 0.75919
0.4658645 0.76167
0.452765 0.76408
0.4394845 0.766415
0.426028 0.76867
0.412401 0.770845
0.3986095 0.77295
0.384658 0.77497
0.370553 0.77692
0.3562995 0.77879
0.341904 0.78058
0.3273715 0.78229
0.312708 0.783925
0.297919 0.785485
0.2830115 0.78696
0.2679905 0.78836
0.2528625 0.78968
0.237633 0.79092
0.2223085 0.792085
0.2068955 0.793165
0.1913995 0.79417
0.175827 0.795095
0.160184 0.79594
0.144477 0.796705
0.1287125 0.79739
0.112896 0.797995
0.0970345 0.79852
0.0811345 0.79897
0.0652015 0.799335
0.04924295 0.79962
0.03326455 0.799825
0.0172728 0.799955
0.00127412 0.8
-0.01472505 0.799965
-0.0307183 0.79985
-0.0466993 0.79966
-0.0626615 0.799385
-0.078599 0.79903
-0.0945045 0.7986
-0.1103725 0.798085
-0.1261965 0.79749
-0.14197 0.79682
-0.1576865 0.796065
-0.17334 0.795235
-0.1889245 0.794325
-0.204433 0.79333
-0.2198595 0.79226
-0.2351985 0.79111
-0.2504435 0.789885
-0.265588 0.788575
-0.2806265 0.78719
-0.295553 0.785725
-0.3103605 0.78418
-0.3250445 0.782555
-0.3395985 0.780855
-0.3540165 0.77908
-0.3682925 0.77722
-0.382422 0.775285
-0.396398 0.773275
